text,category,priority
"In the coastal village, health talks on nutrition would help in this drought, children are suffering badly. for routine support",Health,LOW
Many families are impacted due to lack of proper education resources. Case 256 for timely assistance,Education,MEDIUM
Unemployment is rising in community 214. as a general requirement,Livelihood,LOW
Workers in locality 56 are struggling to find jobs. as part of current needs,Livelihood,MEDIUM
"We request more variety in the ration kit for the past week, school going kids are impacted. to prepare for upcoming needs",Food,LOW
Village 164 requires installation of water supply systems. as lives are at immediate risk,Water,HIGH
Workers in locality 262 are struggling to find jobs. to support ongoing recovery,Livelihood,MEDIUM
There has been a continuous problem with shelter services affecting daily life. Case 454 to support ongoing recovery,Shelter,MEDIUM
Earthquake impact is severe in region 310. to help the affected community,Disaster,MEDIUM
Roads in village 136 are damaged and unsafe. to support ongoing recovery,Infrastructure,MEDIUM
The situation regarding education has worsened significantly in recent days. Case 50 to support ongoing recovery,Education,MEDIUM
"School closed due to no funds since last month, kids are getting weak dropping out. We really need help soon because kids are getting weak. with people in urgent distress",Education,HIGH
Community 386 depends on contaminated water sources. as a general requirement,Water,LOW
Infrastructure development is needed in zone 112. to support ongoing recovery,Infrastructure,MEDIUM
not getting proper meals daily to support ongoing recovery,Food,MEDIUM
Earthquake impact is severe in region 242. as part of current needs,Disaster,MEDIUM
Area 393 lacks proper sanitation and toilet facilities. due to a critical situation,Sanitation,HIGH
People in this area are facing severe issues related to education and need support immediately. Case 329 for future planning,Education,LOW
Livelihood support is required for households in zone 4. as lives are at immediate risk,Livelihood,HIGH
Sanitation infrastructure is inadequate in zone 379. for routine support,Sanitation,LOW
Many families are impacted due to lack of proper shelter resources. Case 940 due to a critical situation,Shelter,HIGH
Workers in locality 323 are struggling to find jobs. as a general requirement,Livelihood,LOW
school closed most days to support ongoing recovery,Education,MEDIUM
The situation regarding food has worsened significantly in recent days. Case 63 due to a critical situation,Food,HIGH
Village 291 requires installation of water supply systems. with people in urgent distress,Water,HIGH
Village 147 requires installation of water supply systems. to prepare for upcoming needs,Water,LOW
Roads in village 5 are damaged and unsafe. to prepare for upcoming needs,Infrastructure,LOW
Waste disposal systems are absent in locality 89. as lives are at immediate risk,Sanitation,HIGH
The situation regarding food has worsened significantly in recent days. Case 129 to help the affected community,Food,MEDIUM
Community 278 depends on contaminated water sources. as part of current needs,Water,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 85 following a severe disaster,Health,HIGH
"house leaking in rain, getting worse daily with people in urgent distress",Shelter,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 436 as part of current needs,Food,MEDIUM
"ration finished early this month, not sure what to do following a severe disaster",Food,HIGH
Many families are impacted due to lack of proper education resources. Case 539 for routine support,Education,LOW
Residents report ongoing health problems making survival difficult. Case 31 following a severe disaster,Health,HIGH
Community 389 depends on contaminated water sources. to support ongoing recovery,Water,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 921 for future planning,Education,LOW
Residents report ongoing food problems making survival difficult. Case 971 for timely assistance,Food,MEDIUM
Families in region 344 lack stable income sources. to support ongoing recovery,Livelihood,MEDIUM
Area 124 lacks proper sanitation and toilet facilities. to support ongoing recovery,Sanitation,MEDIUM
Flooding has displaced families in area 105. as lives are at immediate risk,Disaster,HIGH
Public transport is unavailable in locality 166. following a severe disaster,Infrastructure,HIGH
There has been a continuous problem with food services affecting daily life. Case 117 as part of current needs,Food,MEDIUM
Unemployment is rising in community 217. to prepare for upcoming needs,Livelihood,LOW
Community 115 depends on contaminated water sources. for future planning,Water,LOW
There has been a continuous problem with shelter services affecting daily life. Case 306 as a general requirement,Shelter,LOW
"no food since 2 days, urgent attention needed following a severe disaster",Food,HIGH
Flooding has displaced families in area 374. to help the affected community,Disaster,MEDIUM
Waste disposal systems are absent in locality 317. as lives are at immediate risk,Sanitation,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 815 for timely assistance,Shelter,MEDIUM
Water scarcity is affecting daily life in region 341. to prepare for upcoming needs,Water,LOW
Flooding has displaced families in area 181. to support ongoing recovery,Disaster,MEDIUM
Waste disposal systems are absent in locality 380. following a severe disaster,Sanitation,HIGH
Residents in area 280 walk long distances for water collection. to support ongoing recovery,Water,MEDIUM
"In the hill tribe area, library books are old and few the last 10 days, my family is in trouble. as a general requirement",Education,LOW
Earthquake impact is severe in region 44. to help the affected community,Disaster,MEDIUM
Residents report ongoing food problems making survival difficult. Case 835 due to a critical situation,Food,HIGH
There has been a continuous problem with food services affecting daily life. Case 639 due to a critical situation,Food,HIGH
Many families are impacted due to lack of proper education resources. Case 831 as a general requirement,Education,LOW
Education related issue reported in area 411 requiring attention. to help the affected community,Education,MEDIUM
The situation regarding shelter has worsened significantly in recent days. Case 352 to prepare for upcoming needs,Shelter,LOW
People in this area are facing severe issues related to health and need support immediately. Case 72 as part of current needs,Health,MEDIUM
Community 384 is facing hygiene issues due to poor sanitation. following a severe disaster,Sanitation,HIGH
Unemployment is rising in community 212. as a general requirement,Livelihood,LOW
Roads in village 66 are damaged and unsafe. following a severe disaster,Infrastructure,HIGH
"learning stopped almost, affecting everyone here for timely assistance",Education,MEDIUM
"classrooms overcrowded, not sure what to do following a severe disaster",Education,HIGH
Waste disposal systems are absent in locality 278. for future planning,Sanitation,LOW
Many families are impacted due to lack of proper health resources. Case 243 due to a critical situation,Health,HIGH
The situation regarding food has worsened significantly in recent days. Case 216 with people in urgent distress,Food,HIGH
Earthquake impact is severe in region 59. following a severe disaster,Disaster,HIGH
Earthquake impact is severe in region 225. due to a critical situation,Disaster,HIGH
Natural disaster has disrupted life in zone 305. due to a critical situation,Disaster,HIGH
The situation regarding food has worsened significantly in recent days. Case 462 following a severe disaster,Food,HIGH
Sanitation infrastructure is inadequate in zone 337. as part of current needs,Sanitation,MEDIUM
The situation regarding education has worsened significantly in recent days. Case 722 to help the affected community,Education,MEDIUM
"living outside sometimes, affecting everyone here as lives are at immediate risk",Shelter,HIGH
Many families are impacted due to lack of proper food resources. Case 754 with people in urgent distress,Food,HIGH
"In my locality, food distribution is partial following the flood, the community is desperate but we need more consistency. We really need help soon because the community is desperate. for timely assistance",Food,MEDIUM
Relief support is needed after disaster in locality 404. to support ongoing recovery,Disaster,MEDIUM
People in this area are facing severe issues related to food and need support immediately. Case 400 due to a critical situation,Food,HIGH
"people sick no clinic open, pls help due to a critical situation",Health,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 42 as part of current needs,Food,MEDIUM
Flooding has displaced families in area 35. for future planning,Disaster,LOW
Community 352 depends on contaminated water sources. to prepare for upcoming needs,Water,LOW
Residents in area 88 walk long distances for water collection. as part of current needs,Water,MEDIUM
Many families are impacted due to lack of proper food resources. Case 965 with people in urgent distress,Food,HIGH
"no teacher coming regularly, needs improvement as part of current needs",Education,MEDIUM
Community 29 is recovering from cyclone damage. for future planning,Disaster,LOW
"temporary shelter very bad, pls help to prepare for upcoming needs",Shelter,LOW
"Extra classes for weak students would help following the flood, kids are getting weak. to prepare for upcoming needs",Education,LOW
Electricity supply is unreliable in region 95. to support ongoing recovery,Infrastructure,MEDIUM
The situation regarding shelter has worsened significantly in recent days. Case 569 to prepare for upcoming needs,Shelter,LOW
Unemployment is rising in community 315. as part of current needs,Livelihood,MEDIUM
People in area 101 need skill development opportunities. as a general requirement,Livelihood,LOW
Village 322 requires installation of water supply systems. due to a critical situation,Water,HIGH
People in this area are facing severe issues related to health and need support immediately. Case 565 following a severe disaster,Health,HIGH
Unemployment is rising in community 346. for timely assistance,Livelihood,MEDIUM
Bridges in area 111 require urgent repair. as lives are at immediate risk,Infrastructure,HIGH
Unemployment is rising in community 316. as a general requirement,Livelihood,LOW
Residents report ongoing food problems making survival difficult. Case 232 as lives are at immediate risk,Food,HIGH
Community 31 depends on contaminated water sources. as lives are at immediate risk,Water,HIGH
Residents report ongoing health problems making survival difficult. Case 455 with people in urgent distress,Health,HIGH
Natural disaster has disrupted life in zone 396. for future planning,Disaster,LOW
People in this area are facing severe issues related to shelter and need support immediately. Case 844 as a general requirement,Shelter,LOW
Community 125 is recovering from cyclone damage. to prepare for upcoming needs,Disaster,LOW
There has been a continuous problem with education services affecting daily life. Case 32 for routine support,Education,LOW
"In the slum area, cleanliness in the clinic is poor since last month, the community is desperate. as part of current needs",Health,MEDIUM
Residents in area 113 walk long distances for water collection. following a severe disaster,Water,HIGH
Many families are impacted due to lack of proper food resources. Case 351 as lives are at immediate risk,Food,HIGH
Many families are impacted due to lack of proper food resources. Case 798 to support ongoing recovery,Food,MEDIUM
Residents report ongoing food problems making survival difficult. Case 490 with people in urgent distress,Food,HIGH
People in area 280 need skill development opportunities. due to a critical situation,Livelihood,HIGH
Sanitation infrastructure is inadequate in zone 126. for timely assistance,Sanitation,MEDIUM
Residents report ongoing food problems making survival difficult. Case 976 as part of current needs,Food,MEDIUM
Many families are impacted due to lack of proper food resources. Case 70 as part of current needs,Food,MEDIUM
Public transport is unavailable in locality 190. for timely assistance,Infrastructure,MEDIUM
Many families are impacted due to lack of proper health resources. Case 335 to help the affected community,Health,MEDIUM
Residents in area 228 walk long distances for water collection. to help the affected community,Water,MEDIUM
Community 237 depends on contaminated water sources. as a general requirement,Water,LOW
Many families are impacted due to lack of proper shelter resources. Case 630 as part of current needs,Shelter,MEDIUM
Earthquake impact is severe in region 202. due to a critical situation,Disaster,HIGH
Many families are impacted due to lack of proper shelter resources. Case 581 as lives are at immediate risk,Shelter,HIGH
People in area 51 need skill development opportunities. with people in urgent distress,Livelihood,HIGH
Sanitation infrastructure is inadequate in zone 52. to help the affected community,Sanitation,MEDIUM
Community 94 depends on contaminated water sources. to help the affected community,Water,MEDIUM
Residents in area 161 walk long distances for water collection. due to a critical situation,Water,HIGH
Residents report ongoing education problems making survival difficult. Case 279 to prepare for upcoming needs,Education,LOW
Household 307 reports lack of clean drinking water access. to help the affected community,Water,MEDIUM
Infrastructure development is needed in zone 78. for routine support,Infrastructure,LOW
Water scarcity is affecting daily life in region 160. to prepare for upcoming needs,Water,LOW
Open defecation is common in region 249. due to a critical situation,Sanitation,HIGH
Unemployment is rising in community 98. for future planning,Livelihood,LOW
Community 7 depends on contaminated water sources. following a severe disaster,Water,HIGH
"In the hill tribe area, the school is completely destroyed after disaster for more than two weeks, women and children are affected kids have no place to study. as lives are at immediate risk",Education,HIGH
Unemployment is rising in community 76. to help the affected community,Livelihood,MEDIUM
Waste disposal systems are absent in locality 309. to support ongoing recovery,Sanitation,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 988 due to a critical situation,Shelter,HIGH
Natural disaster has disrupted life in zone 297. with people in urgent distress,Disaster,HIGH
There has been a continuous problem with food services affecting daily life. Case 424 following a severe disaster,Food,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 683 to help the affected community,Shelter,MEDIUM
Open defecation is common in region 272. for routine support,Sanitation,LOW
Household 226 reports lack of clean drinking water access. due to a critical situation,Water,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 461 with people in urgent distress,Food,HIGH
People in area 223 need skill development opportunities. as lives are at immediate risk,Livelihood,HIGH
Families in region 164 lack stable income sources. to prepare for upcoming needs,Livelihood,LOW
Residents report ongoing health problems making survival difficult. Case 947 due to a critical situation,Health,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 383 for timely assistance,Food,MEDIUM
Community 331 is facing hygiene issues due to poor sanitation. due to a critical situation,Sanitation,HIGH
Bridges in area 266 require urgent repair. as lives are at immediate risk,Infrastructure,HIGH
Flooding has displaced families in area 370. to prepare for upcoming needs,Disaster,LOW
Families in region 158 lack stable income sources. with people in urgent distress,Livelihood,HIGH
"school closed most days, need support soon to support ongoing recovery",Education,MEDIUM
Many families are impacted due to lack of proper education resources. Case 0 to prepare for upcoming needs,Education,LOW
Community 315 depends on contaminated water sources. to help the affected community,Water,MEDIUM
